companyName,company_reviews,company_offeredRole,company_roleLocation,listing_jobDesc,requested_url
Optiver,4.1,Graduate Software Engineer,Singapore,"Read Brenda's story on delivering low-latency, high-throughput systems that improve our connectivity to the financial market. Read Richard's story on navigating the world of automated trading – systems that make trading decisions. Read Marcus's story on working in the risk and treasury team, where he monitors systems that manage and mitigate risk (e.g., trading risk). Read Aidan's story on working in the Compliance IT team, where he manages systems that facilitate reporting and reconciliation. Read Lena's story on production engineering, where she builds tools and systems that enable us to trade smoothly. Keen to create high-performance, low latency designs that critically impact trading success Curious to learn and comfortable discussing/exploring complex technical ideas Have a range of out-of-classroom projects or extra-curricular activities that demonstrates your passion in technology, particularly software development Keen to work alongside the best Developers and Traders in the industry, with the humility to continually upskill and improve yourself Knowledgeable about object orientated design and development concepts (experience with C++, C# or Java is required for our technical assessment) The chance to work alongside diverse, intelligent and driven peers in a rewarding environment We offer competitive remuneration, including: an attractive bonus structure and additional leave entitlements Corporate health insurance Training, mentorship and personal development opportunities Weekly in-house chair massages Daily breakfast and lunch Regular social events including an annual company trip A work-from-home allowance and support. A final year university student or recent graduate Studying a Computer Science, Software/Electrical/Mechatronic Engineering or similarly technical degree",https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=00000182f4da6467b63290e1674682c4&src=GD_JOB_AD&t=SR&vt=w&cs=1_957a272f&cb=1661965329826&jobListingId=1008105206948&jrtk=3-0-1gbqdkp4nklve801-1gbqdkp58gsqm800-f7bc5eeb46631208-
AC P. COMPUTER TRAINING & CONSULTANCY PTE LTD,4.0,Software Quality Engineer (GovTech 070722),Singapore,"Create and maintain test cases, test plans ensuring that they are up to date withrequirements and policy changes Create, maintain and improve the automated test framework and test environments Conduct testing on new features and file defects Participate in all agile ceremonies Degree in software engineering, computer engineering, electrical engineering orinfocomm-related discipline. At least three years of professional software quality testing experience with hands-onautomation Strong understanding of testing techniques Strong understanding of test-driven development, continuous integration and continuousdelivery Experience with various testing tools will be an added advantage: Experience with open source automated testing frameworks ( i.e. Robot, Appium, Selenium ) or Enterprise level testing tools (e.g. HP Mobile Center, HP UFT, HP QC, Sprinter) Experience with open source performance testing tools ( i.e. JMeter, Gatling, Locust) or enterprise level testing tools (HP LoadRunner) Experience with open source penetration testing tools (ZAP, Burp Suite, SQL Map) orenterprise level penetration testing tools (HP WebInspect, Nessus, CheckMarx) Working experience in Agile environment will be an added advantage Excellent verbal communication and listening skills Proactive, self-driven and motivated Monday to Friday",https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=1136043&s=58&guid=00000182f4da6467b63290e1674682c4&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_2cfc15e6&cb=1661965329828&jobListingId=1008104569884&jrtk=3-0-1gbqdkp4nklve801-1gbqdkp58gsqm800-918e879305f94524-
Indeed,4.4,Software Development Engineer in Test III - Job Seeker,Singapore,"Your Job
A Software Development Engineer in Test (SDET) at Indeed is a developer with the primary responsibility of building the infrastructure and tooling support to enable SWEs to write test automation. It is a unique and challenging role, and provides immense opportunity to design and develop wide-reaching frameworks and design patterns to enable high velocity code delivery.
Being part of the ACME team you’ll be writing code that automatically verifies the quality of the product. You will be involved in bringing the product from development all the way to production by enhancing, maintaining, and building supportable pipeline enhancements to enable push on green delivery, migrating projects to AWS. This entails creating testing Services/Tools/WebApps that enable others to offer similar support. Drive the strategy for testability of the product with understanding of customer usage models in real-world environments.
SDETs at Indeed are highly skilled engineers who are able to debug code, automate repetitive tasks, and implement/improve tools and frameworks needed to streamline our testing processes. Each SDET has a home base within a development group. Each development group is responsible for one or more products. Being a member of their home team allows SDETS to work directly with other product teams and cross functional roles to understand project features, review technical designs, and implement automated solutions to deliver quality features with efficiency. The potential for impact across the larger technology organization is quite expansive.

At Indeed, we highly value employee career development. SDETs have a clear career path trajectory that can follow technical and managerial paths of growth. Being a key member of a development team as an SDET also provides ample opportunity to grow into different roles throughout the team (such as Software Development Engineer). Cross organizational transfers to work on different projects and technology stacks is also supported and encouraged.
Who You Are
Required Qualifications:
Bachelor’s Degree or Master's degree with 5+ years of experience as Developer or SDET (Senior QA Automation / Lead).
Strong ability to write effective code utilizing some of the following technologies (Javascript/TS, Java, Spring, Web Services, HTML, XML, AJAX, Microservices, SOA, REST, JSON)
Experience working with AWS, Terraform/CloudFormation
Effective communication across functions to identify tooling needs, automation gaps, and reduce toil in the development process.
Strong experience with Agile development incorporating Continuous Integration and Continuous Delivery, utilizing technologies/providers such as Gitlab or Github, Jenkins, Datadog
Debug code, solve complex problems related to efficiency and performance of our software with appropriate production monitoring

Design and Implement new tools, scalable automated test frameworks working across technologies
Strong experience in building development and monitoring tools as an essential part of production system

Mentoring with detailed source code reviews along with technical guidance to overall architecture and design
Strong organizational skills, prioritization and deliverables/results
Able to deal well with ambiguous/undefined problems; ability to think abstractly.
Preferred Qualifications:

Knowledge of functional programming
Docker, Kubernetes, Kafka, RabbitMQ experience

Strong understanding of computer science fundamentals, algorithm design and data structures
Experience in Object Oriented Analysis, Design(OOAD) and development of software using UML Methodology, good knowledge of design patterns
Effectively articulate any technical challenges and undefined problems

Provide innovative solutions related to new tooling and frameworks

Delivering highly customized test assets with mix of tools and techniques to provide a great user experience

Striving for Product scalability, reliability, consistency and performance in Production
AWS Certification
Who we are
We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time.
Our Mission
As the world’s number 1 job site*, our mission is to help people get jobs. We strive to cultivate an inclusive and accessible workplace where all people feel comfortable being themselves. We're looking to grow our teams with more people who share our enthusiasm for innovation and creating the best experience for job seekers.
(*comScore Total Visits, September 2021)
Salary Range Disclaimer
The base salary range represents the low and high end of the Indeed salary range for this position. Actual salaries will vary depending on factors including but not limited to location, experience, and performance. The range listed is just one component of Indeed's total compensation package for employees. Other rewards may include quarterly bonuses, Restricted Stock Units (RSUs), an open Paid Time Off policy, and many region-specific benefits.
Salary Range Transparency
Tokyo 16,330,000 - 23,670,000 JPY per year
Equal Opportunities and Accommodations Statement
Indeed is deeply committed to creating a workplace and global community where inclusion is not only valued, but prioritized. We’re proud to be an equal opportunity employer, seeking to create a welcoming and diverse environment. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender identity or expression, family status, marital status, sexual orientation, national origin, genetics, neurodiversity, disability, age, or any other non-merit based or legally protected grounds.

Indeed is committed to providing reasonable accommodations to qualified individuals with disabilities in the employment application process. To request an accommodation, please contact Talent Attraction Help at +81 3 4563 2563, or by email at TAhelp@indeed.com at least one week in advance of your interview.
Our Policies and Benefits
View Indeed's Applicant Privacy and Accessibility Policies - https://www.indeed.com/legal/indeed-jobs
Learn about our global employee perks, programs and benefits - https://benefits.indeed.jobs/
Reference ID: 41777Show more ",https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=00000182f4da6467b63290e1674682c4&src=GD_JOB_AD&t=SR&vt=w&cs=1_f1a41741&cb=1661965329827&jobListingId=1008104967924&jrtk=3-0-1gbqdkp4nklve801-1gbqdkp58gsqm800-2910814e487c588b-
Anotech Singapore,3.9,Software Test Engineer (Junior),Singapore,Monday to Friday,https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=1136043&s=58&guid=00000182f4da6467b63290e1674682c4&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_2bf90a90&cb=1661965329828&jobListingId=1008094953479&jrtk=3-0-1gbqdkp4nklve801-1gbqdkp58gsqm800-d7313eff1fb1181e-
Bosch Group,4.2,Software- / Cloud Engineer - Internship,Singapore,"Assist architects in developing solutions to complex technical problems Assists with research and complies project related data as required by the product team Responsible for scoping, configuring and documenting POC (proof of concepts) Technical evaluation of technology stacks Involve in development, deployment, testing and calibrating of prototypes Schedule and coordinate meetings and other activities 
Study B.S/M.S in Informatics/Software Engineering. Good knowledge of software development in one of the following languages Java, .NET,C/C++ Knowledge of infrastructure-as-a-service platforms (e.g. Amazon AWS, Microsoft Azure) Knowledge of Git and corresponding repository management services (e.g. GitHub or BitBucket, etc.) Self-starter/own initiative, team-oriented approach with enthusiasm and persistency",https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=00000182f4da6467b63290e1674682c4&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f1cb2a4f&cb=1661965329827&jobListingId=1008087513400&jrtk=3-0-1gbqdkp4nklve801-1gbqdkp58gsqm800-280d0e7d6dc7114d-
Indeed,4.4,Senior Software Engineer (multiple roles),Singapore,"
BS in Computer Science or equivalent practical experience 
4+ years experience in software development 
Demonstrated ability to operate as a high-performing member of a small, cross-functional team 
Excellent written and verbal communication skills with the ability to present complex technical information in a clear and concise manner to a variety of audiences 
Knowledge of Java, React, Spring Framework, Protobuf, ReST, GraphQL and JSON.",https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=00000182f4da6467b63290e1674682c4&src=GD_JOB_AD&t=SR&vt=w&cs=1_d595d237&cb=1661965329825&jobListingId=1007459554265&jrtk=3-0-1gbqdkp4nklve801-1gbqdkp58gsqm800-049df81e92176559-
Dell Technologies,4.3,Software Engineer (Fresh Grads),Singapore,"
Design, Develop, Deploy and Maintain software solutions that contribute to the next generation Edge Technology 
Develop distributed, scalable and real-time low-latency solutions in an agile delivery method 
Apply your knowledge of Computer Science Engineering to solve real world software engineering problems 
Currently enrolled/completed – Bachelor’s or Master’s degree in Computer Science or related field 
Proficiency in one or more of the programming languages Golang, Python, C++ and Java 
Good understanding of Data Structures and Algorithms 
Excellent analytical and problem-solving skills 
Domain knowledge in one or more areas – IoT / Edge Computing / Linux Kernel / Firmware 
Experience working in Unix/Linux environments",https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=00000182f4da6467b63290e1674682c4&src=GD_JOB_AD&t=SR&vt=w&cs=1_e54d1d72&cb=1661965329826&jobListingId=1008096208951&jrtk=3-0-1gbqdkp4nklve801-1gbqdkp58gsqm800-95c469bc47ac8781-
Mastercard,4.3,Software Engineer,Singapore,"Are you passionate about software engineering? Do you enjoy seeing your code have real-world impact on a wide range of customers and important problems? Do you want to join a company that offers a competitive benefits program that attracts and retains the most talented engineers around the world? Do you want to work for a company that offers additional benefits that match our values such as flexible work hours, paid volunteer days, charitable matching, and tuition assistance? Do you thrive in a place where you are continuously learning more while growing your skills and career? Do you want to join an inclusive culture where employees, in all their diversity, feel valued, respected, and who can bring their authentic selves to work? Learn more at Mastercard’s Corporate Sustainability Report. A hands-on engineer who writes high-quality code with a focus on security, design, and maintainability. Contribute to all phases of software development from design through rollout. Have strong ownership of your team’s software including monitoring, dependencies, build, and deployments. Communicate, collaborate and work effectively in a global environment. Currently enrolled in your final year of a bachelor’s or accelerated master’s program Strong foundation in algorithms, data structures, and core computer science concepts. Proficiency in one or more general-purpose programming languages such as Java, JavaScript, C#, Python, etc. Strong written and verbal English communication skills. Strong analytical and excellent problem-solving skills. 
Abide by Mastercard’s security policies and practices; 
Ensure the confidentiality and integrity of the information being accessed; 
Report any suspected information security violation or breach, and 
Complete all periodic mandatory security trainings in accordance with Mastercard’s guidelines.",https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=00000182f4da6467b63290e1674682c4&src=GD_JOB_AD&t=SR&vt=w&cs=1_56bca49c&cb=1661965329825&jobListingId=1008056288919&jrtk=3-0-1gbqdkp4nklve801-1gbqdkp58gsqm800-fe1ce0b32e6137c1-
Adstify Search Pte Ltd,4.6,Software Test Engineer,Singapore,"Develop, document and maintain functional and non-functional test cases Execute and evaluate manual or automated test cases to locate bugs and regressions and ensure product quality is of a high standard Perform API interface testing and API automation testing Reviewing functional and design specifications to ensure full understanding of individual deliverables Ensure that validated deliverables meet functional and design specifications and requirements Intermediate level of professional experience within the QA field Good level of understanding of the software development life cycle and lean/agile QA methodologies Hands-on experience in test automation and scripting languages using selenium (API automation experience is a huge plus!) Good level of understanding of QA process, Test planning, Test case generation and Defect management(JIRA) A solid understanding of how REST APIs and the Browser DOM work, and the ability to debug errors using tools such as Postman and your favorite browsers developer tools A good level of English (written and verbal) communication and presentation skills, with demonstrated ability to work with all levels of the organization Enjoy working in a group and collaborate with cross-functional teams to get things done A critical thinker, an innovator, creative and has good problem-solving skills Is comfortable in an Agile environment with rapid application development Enjoys the fast-paced and collaborative nature of a lean and agile startup Monday to Friday",https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=1136043&s=58&guid=00000182f4da6467b63290e1674682c4&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_1bd56143&cb=1661965329827&jobListingId=1008080295103&jrtk=3-0-1gbqdkp4nklve801-1gbqdkp58gsqm800-fd09aa4d2f52b7ff-
ParaDM Pte Ltd,NA,Software Engineer,Outram Park,Cell phone reimbursement Flexible schedule Work from home Monday to Friday 13th month salary Local Polytechnic Diploma (Preferred) Software development: 3 years (Preferred),https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=1136043&s=58&guid=00000182f4da6467b63290e1674682c4&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a9726710&cb=1661965329829&jobListingId=1008067745277&jrtk=3-0-1gbqdkp4nklve801-1gbqdkp58gsqm800-14cf188ed8c7ebe8-
